source_group,price,area_total,rooms,floor,floors_total,address,metro,metro_walk_min,kitchen_area,walls,link
2k,24400000,61.6,2,10,17,"2к, 61.6м², 10/17 этаж, ул. Большая Очаковская, 1, Москва, квартира",До метро,10,9.0,Кирпичные,https://msk.etagi.com/realty/11969052/
2k,21400000,58.9,2,7,17,"2к, 58.9м², 7/17 этаж, ул. Юрловский проезд, 14к1, Москва, квартира",школа и детский сад в,5,13.0,Монолитные,https://msk.etagi.com/realty/11969113/
2k,27500000,56.8,2,5,8,"2к, 56.8м², 5/8 этаж, ул. Расковой, 14, Москва, квартира",Динамо,15,5.4,Монолитные,https://msk.etagi.com/realty/11969407/
2k,17500000,42.6,2,2,5,"2к, 42.6м², 2/5 этаж, ул. Константина Царёва, 14, Москва, квартира",На карте Стрешнево,6,5.0,Кирпично-панельные,https://msk.etagi.com/realty/11970156/
2k,26000000,62.7,2,2,27,"2к, 62.7м², 2/27 этаж, ул. Дмитровское шоссе, 73бк1, Москва, квартира",Верхние Лихоборы,5,12.3,Монолитно-Кирпичный,https://msk.etagi.com/realty/11970332/
2k,26500000,57.3,2,13,18,"2к, 57.3м², 13/18 этаж, ул. Карамышевская набережная, 60к1, Москва, квартира",Народное Ополчение,24,25.6,Монолитные,https://msk.etagi.com/realty/11970611/
2k,20050000,61.4,2,3,7,"2к, 61.4м², 3/7 этаж, ул. Расплетина, 2, Москва, квартира",На карте Октябрьское Поле,15,6.0,Кирпичные,https://msk.etagi.com/realty/11970843/
2k,222222222,128.2,2,18,39,"2к, 128.2м², 18/39 этаж, ул. Поклонная, 9, Москва, апартаменты",Поклонная,6,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11950101/
2k,38850000,59.0,2,15,25,"2к, 59м², 15/25 этаж, ул. проспект Андропова, 9/1к2, Москва, квартира",На карте Технопарк,6,12.0,Монолитные,https://msk.etagi.com/realty/11950971/
2k,28900000,35.0,2,8,8,"2к, 35м², 8/8 этаж, ул. Грузинский переулок, 14, Москва, квартира",На карте Белорусская,6,6.0,Кирпичные,https://msk.etagi.com/realty/11952058/
2k,12725000,50.9,2,1,9,"2к, 50.9м², 1/9 этаж, ул. Красноярская, 3к2, Москва, квартира",Щёлковская,35,9.0,Панельные,https://msk.etagi.com/realty/11953268/
2k,15900000,44.1,2,9,17,"2к, 44.1м², 9/17 этаж, ул. 6-я Радиальная, 3к11, Москва, квартира",Царицыно,21,12.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11953785/
2k,18300000,44.8,2,7,12,"2к, 44.8м², 7/12 этаж, ул. 2-я Пугачёвская, 14к2, Москва, квартира",На карте Преображенская площадь,14,6.0,Блочные,https://msk.etagi.com/realty/11953961/
2k,14000000,40.8,2,10,12,"2к, 40.8м², 10/12 этаж, ул. Веерная, 40к5, Москва, квартира",Матвеевская,14,6.0,Панельные,https://msk.etagi.com/realty/11954416/
2k,49000000,61.0,2,9,14,"2к, 61м², 9/14 этаж, ул. Пресненский Вал, 14к1, Москва, квартира",года,8,9.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11954738/
2k,23500000,52.0,2,27,33,"2к, 52м², 27/33 этаж, ул. Михайлова, 30ак4, Москва, квартира",На карте Окская,9,9.0,Железобетонные,https://msk.etagi.com/realty/11954890/
2k,42000000,54.2,2,5,8,"2к, 54.2м², 5/8 этаж, ул. Тверская, 27с2, Москва, квартира",метро Маяковского -,2,30.0,Кирпичные,https://msk.etagi.com/realty/11955197/
2k,20250000,60.5,2,3,12,"2к, 60.5м², 3/12 этаж, ул. Перервинский бульвар, 15к2, Москва, квартира",Братиславская,21,12.9,Панельные,https://msk.etagi.com/realty/11956294/
2k,32500000,52.7,2,47,58,"2к, 52.7м², 47/58 этаж, ул. Ленинградское шоссе, 57с2, Москва, квартира",На карте Беломорская,17,9.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11928476/
2k,24500000,52.0,2,15,17,"2к, 52м², 15/17 этаж, ул. Осенний бульвар, 10к2, Москва, квартира",На карте Крылатское,3,9.0,Панельные,https://msk.etagi.com/realty/11929506/
2k,32450000,53.9,2,4,23,"2к, 53.9м², 4/23 этаж, ул. Мичуринский проспект, 26, Москва, квартира",На карте Раменки,5,14.0,Монолитные,https://msk.etagi.com/realty/11929539/
2k,15150000,53.0,2,5,5,"2к, 53м², 5/5 этаж, ул. 11-я Парковая, 52, Москва, квартира",Щёлковская,9,10.0,Кирпичные,https://msk.etagi.com/realty/11930317/
2k,34000000,54.0,2,16,30,"2к, 54м², 16/30 этаж, ул. Волгоградский проспект, 32/3к2, Москва, квартира",На карте Угрешская,3,13.5,Монолитные,https://msk.etagi.com/realty/11930355/
2k,25000000,53.7,2,5,16,"2к, 53.7м², 5/16 этаж, ул. Народного Ополчения, 28к1, Москва, квартира",Народное Ополчение,11,9.2,Панельные,https://msk.etagi.com/realty/11930571/
2k,24800000,47.8,2,4,23,"2к, 47.8м², 4/23 этаж, ул. 3-я Хорошёвская, 19а, Москва, квартира",Зорге,11,12.0,Монолитные,https://msk.etagi.com/realty/11931297/
2k,18200000,52.4,2,4,14,"2к, 52.4м², 4/14 этаж, ул. Братеевская, 33к1, Москва, квартира",На карте Алма-Атинская,5,8.9,Панельные,https://msk.etagi.com/realty/11931926/
2k,17000000,38.0,2,6,9,"2к, 38м², 6/9 этаж, ул. Седова, 17к1, Москва, квартира",На карте Свиблово Ботанический сад,12,6.3,Кирпичные,https://msk.etagi.com/realty/11932207/
2k,26500000,57.0,2,4,13,"2к, 57м², 4/13 этаж, ул. Варшавское шоссе, 16, Москва, квартира",Верхние Котлы,6,7.0,Кирпичные,https://msk.etagi.com/realty/11932508/
2k,29950000,39.15,2,6,20,Посмотреть 5 фото,На карте Фили,6,4.31,Панельные,https://msk.etagi.com/realty/11932838/
2k,15100000,44.6,2,6,9,"2к, 44.6м², 6/9 этаж, ул. Кантемировская, 5к2, Москва, квартира",- до автобусной остановки,2,6.0,Панельные,https://msk.etagi.com/realty/11891795/
2k,11330000,47.0,2,3,6,"2к, 47м², 3/6 этаж, ул. Перерва, 16, Москва, апартаменты",На карте Перерва,18,20.0,Панельные,https://msk.etagi.com/realty/11892007/
2k,19100000,38.0,2,1,12,"2к, 38м², 1/12 этаж, ул. Большая Марьинская, 1, Москва, квартира",На карте Алексеевская,11,6.0,Железобетонные панели,https://msk.etagi.com/realty/11894221/
2k,15400000,40.0,2,10,12,"2к, 40м², 10/12 этаж, ул. Халтуринская, 9к4, Москва, квартира",Черкизовская Преображенская площадь,11,8.0,Блочные,https://msk.etagi.com/realty/11894765/
2k,18500000,64.5,2,13,24,"2к, 64.5м², 13/24 этаж, ул. Ягодная, 8к1, Москва, квартира",,,12.0,Блочные,https://msk.etagi.com/realty/11896233/
2k,12900000,37.3,2,1,12,"2к, 37.3м², 1/12 этаж, ул. Бехтерева, 43к2, Москва, квартира",Царицыно,21,6.0,Блочные,https://msk.etagi.com/realty/11897060/
2k,155000000,128.2,2,18,39,"2к, 128.2м², 18/39 этаж, ул. Поклонная, 9, Москва, апартаменты",Поклонная,6,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11897466/
2k,22500000,53.3,2,13,14,"2к, 53.3м², 13/14 этаж, ул. Нагатинская набережная, 60к4, Москва, квартира",Нагатинский Затон,17,12.0,Блочные,https://msk.etagi.com/realty/11901764/
2k,14500000,46.3,2,9,14,"2к, 46.3м², 9/14 этаж, ул. Яхромская, 3к3, Москва, квартира",Лианозово Яхромская,9,8.8,Блочные,https://msk.etagi.com/realty/11904425/
2k,15990000,54.0,2,12,17,"2к, 54м², 12/17 этаж, ул. Стандартная, 27, Москва, квартира",Бескудниково,6,8.3,Монолитные,https://msk.etagi.com/realty/11904498/
2k,25000000,45.0,2,1,5,"2к, 45м², 1/5 этаж, ул. Севастопольский проспект, 65/15, Москва, квартира",Каховская Зюзино,6,6.0,Железо-бетон,https://msk.etagi.com/realty/12228034/
2k,23950000,49.0,2,12,21,"2к, 49м², 12/21 этаж, ул. Ленинский проспект, 107к3, Москва, квартира",Новаторская,14,9.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11854945/
2k,22700000,38.5,2,1,5,"2к, 38.5м², 1/5 этаж, ул. Угловой переулок, 21, Москва, квартира",,,5.0,Кирпичные,https://msk.etagi.com/realty/11859547/
2k,18600000,58.0,2,16,17,"2к, 58м², 16/17 этаж, ул. Вилиса Лациса, 27, Москва, квартира",,,12.0,Панельные,https://msk.etagi.com/realty/11861691/
2k,19300000,44.2,2,3,9,"2к, 44.2м², 3/9 этаж, ул. Шелепихинское шоссе, 17к2, Москва, квартира",На карте Шелепиха,5,7.0,Панельные,https://msk.etagi.com/realty/11864730/
2k,27500000,82.2,2,5,15,"2к, 82.2м², 5/15 этаж, ул. Родионовская, 2к1, Москва, квартира",,,11.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11867827/
2k,31500000,42.6,2,1,5,"2к, 42.6м², 1/5 этаж, ул. Студенческая, 16, Москва, квартира",Студенческая,9,6.7,Кирпичные,https://msk.etagi.com/realty/11869249/
2k,18900000,41.3,2,2,5,"2к, 41.3м², 2/5 этаж, ул. Шаболовка, 59к2, Москва, квартира",Шаболовская,5,6.0,Панельные,https://msk.etagi.com/realty/11871173/
2k,26700000,58.9,2,3,9,"2к, 58.9м², 3/9 этаж, ул. Русаковская, 5, Москва, квартира",Красносельская,6,9.4,Монолитно-Кирпичный,https://msk.etagi.com/realty/11871905/
2k,21900000,68.0,2,14,16,"2к, 68м², 14/16 этаж, ул. Никитинская, 31к2, Москва, квартира",На карте Локомотив,26,9.0,Монолитные,https://msk.etagi.com/realty/11873521/
2k,19500000,58.0,2,1,17,"2к, 58м², 1/17 этаж, ул. Крылатская, 31к1, Москва, квартира",На карте Крылатское,24,10.0,Панельные,https://msk.etagi.com/realty/11873834/
2k,14900000,45.9,2,5,12,"2к, 45.9м², 5/12 этаж, ул. Енисейская, 24, Москва, квартира",Отличная двухкомнатная квартира в,1,7.0,Панельные,https://msk.etagi.com/realty/896588/
2k,23000000,57.1,2,6,8,"2к, 57.1м², 6/8 этаж, ул. Ленинский проспект, 74, Москва, квартира",,,8.0,Кирпичные,https://msk.etagi.com/realty/11801198/
2k,19800000,57.0,2,6,15,"2к, 57м², 6/15 этаж, ул. 15-я Парковая, 42к5, Москва, квартира",Щёлковская,24,11.0,Кирпичные,https://msk.etagi.com/realty/11831919/
2k,14300000,40.7,2,1,5,"2к, 40.7м², 1/5 этаж, ул. Мосфильмовская, 16, Москва, квартира",Поклонная,17,5.5,Кирпичные,https://msk.etagi.com/realty/11832118/
2k,25900000,63.3,2,17,20,"2к, 63.3м², 17/20 этаж, ул. Базовская, 15бк4, Москва, квартира",Грачёвская,18,23.0,Панельные,https://msk.etagi.com/realty/11832244/
2k,23500000,55.2,2,10,12,"2к, 55.2м², 10/12 этаж, ул. Петра Романова, 18, Москва, квартира",Кожуховская,5,9.0,Монолитные,https://msk.etagi.com/realty/11833195/
2k,14300000,54.3,2,7,14,"2к, 54.3м², 7/14 этаж, ул. Маршала Кожедуба, 2к1, Москва, квартира",На карте Люблино,26,8.8,Панельные,https://msk.etagi.com/realty/11833467/
2k,17000000,50.6,2,12,16,"2к, 50.6м², 12/16 этаж, ул. Маршала Голованова, 12, Москва, квартира",Марьино,18,8.6,Панельные,https://msk.etagi.com/realty/11833525/
2k,35605500,89.9,2,9,22,"2к, 89.9м², 9/22 этаж, ул. Дубравная, Москва, квартира",,,25.2,Панельные,https://msk.etagi.com/realty/11834857/
2k,20000000,53.0,2,6,24,"2к, 53м², 6/24 этаж, ул. Салтыковская, 6/2к1, Москва, квартира",Улица Дмитриевского,30,12.0,Монолитные,https://msk.etagi.com/realty/11834919/
2k,17100000,43.0,2,5,5,"2к, 43м², 5/5 этаж, ул. 11-я Парковая, 3к1, Москва, квартира",Первомайская,11,6.0,Бетонные,https://msk.etagi.com/realty/11835036/
2k,12600000,44.5,2,6,9,"2к, 44.5м², 6/9 этаж, ул. Севанская, 3, Москва, квартира",Царицыно,5,6.0,Крупнопанельные железобетонные плиты,https://msk.etagi.com/realty/11836162/
2k,27600000,56.0,2,6,7,"2к, 56м², 6/7 этаж, ул. 3-я Песчаная, 5к1, Москва, квартира",в,10,12.0,Кирпичные,https://msk.etagi.com/realty/11780913/
2k,28600000,68.9,2,9,17,"2к, 68.9м², 9/17 этаж, ул. Цимлянская, 3к2, Москва, квартира",Люблино,14,21.0,Монолитные,https://msk.etagi.com/realty/11798499/
2k,17550000,55.4,2,12,14,"2к, 55.4м², 12/14 этаж, ул. Совхозная, 10к2, Москва, квартира",На карте Люблино,14,11.9,Панельные,https://msk.etagi.com/realty/11798631/
2k,15900000,45.7,2,1,12,"2к, 45.7м², 1/12 этаж, ул. 9-я Парковая, 6, Москва, квартира",Первомайская,8,9.0,Кирпич красный,https://msk.etagi.com/realty/11799694/
2k,19750000,59.1,2,6,9,"2к, 59.1м², 6/9 этаж, ул. Бориса Галушкина, 18, Москва, квартира",ВДНХ,15,15.0,Кирпичные,https://msk.etagi.com/realty/11801148/
2k,14840000,40.0,2,12,12,"2к, 40м², 12/12 этаж, ул. Ленинградское шоссе, 228к1, Москва, квартира",Молжаниново,12,11.0,Монолитные,https://msk.etagi.com/realty/11801387/
2k,15500000,44.7,2,3,9,"2к, 44.7м², 3/9 этаж, ул. Матвеевская, 42к2, Москва, квартира",Давыдково,15,6.0,Сборно-монолитный железобетонный каркас,https://msk.etagi.com/realty/11802305/
2k,14400000,54.1,2,9,17,"2к, 54.1м², 9/17 этаж, ул. Маресьева, 12к1, Москва, квартира",Некрасовка,23,8.6,Монолитные,https://msk.etagi.com/realty/11803478/
2k,45000000,52.0,2,2,4,"2к, 52м², 2/4 этаж, ул. Садовая-Каретная, 8с2, Москва, квартира",Чеховская,11,6.7,Кирпичные,https://msk.etagi.com/realty/11803745/
2k,30495000,60.0,2,21,24,"2к, 60м², 21/24 этаж, ул. Красноказарменная, 14ак6, Москва, квартира",-комнатная квартира,5,10.0,Монолитные,https://msk.etagi.com/realty/11804099/
2k,21250000,52.0,2,15,17,"2к, 52м², 15/17 этаж, ул. Партизанская, 24, Москва, квартира",На карте Молодёжная,9,9.6,Панельные,https://msk.etagi.com/realty/11804379/
2k,18800000,41.9,2,4,8,"2к, 41.9м², 4/8 этаж, ул. Нижегородская, 13а, Москва, квартира",а На карте Москва-Товарная,12,23.0,Кирпичные,https://msk.etagi.com/realty/11737304/
2k,16250000,48.0,2,6,9,"2к, 48м², 6/9 этаж, ул. Люблинская, 5к5, Москва, квартира",Текстильщики,12,6.0,Кирпичные,https://msk.etagi.com/realty/11764874/
2k,21500000,51.5,2,1,14,"2к, 51.5м², 1/14 этаж, ул. Складочная, 8к2, Москва, квартира",Бутырская,17,9.0,Монолитные,https://msk.etagi.com/realty/11766036/
2k,30000000,40.0,2,2,3,"2к, 40м², 2/3 этаж, ул. Уланский переулок, 23, Москва, квартира",Красные Ворота,8,6.0,Кирпичные,https://msk.etagi.com/realty/11766859/
2k,24900000,40.2,2,8,9,"2к, 40.2м², 8/9 этаж, ул. Большая Грузинская, 63с1, Москва, квартира",На карте Белорусская,8,7.0,Кирпичные,https://msk.etagi.com/realty/11767636/
2k,25000000,64.0,2,8,8,"2к, 64м², 8/8 этаж, ул. Дербеневская набережная, 13/17к5, Москва, квартира",всего,21,6.0,Кирпичные,https://msk.etagi.com/realty/11769662/
2k,15000000,47.8,2,1,12,"2к, 47.8м², 1/12 этаж, ул. Зелёный проспект, 40к2, Москва, квартира",Новогиреево,12,8.8,Панельные,https://msk.etagi.com/realty/11769873/
2k,18500000,59.0,2,3,5,"2к, 59м², 3/5 этаж, ул. Дмитровское шоссе, 151к4, Москва, квартира",Лианозово,6,12.0,Блочные,https://msk.etagi.com/realty/11769909/
2k,13100000,44.0,2,3,5,"2к, 44м², 3/5 этаж, ул. Центральная, 13, Москва, квартира",Митино,26,6.0,Панельные,https://msk.etagi.com/realty/11770108/
2k,29000000,57.0,2,27,30,"2к, 57м², 27/30 этаж, ул. Волгоградский проспект, 32/3к2, Москва, квартира",На карте Угрешская,3,18.0,Монолитные,https://msk.etagi.com/realty/11770325/
2k,28000000,69.0,2,12,17,"2к, 69м², 12/17 этаж, ул. Туристская, 33, Москва, квартира",На карте Сходненская,24,8.3,Панельные,https://msk.etagi.com/realty/11770618/
2k,9500000,36.8,2,2,6,"2к, 36.8м², 2/6 этаж, ул. Чертановская, 7а, Москва, квартира",На карте Южная,17,9.0,Блочные,https://msk.etagi.com/realty/11717951/
2k,45000000,95.5,2,8,22,"2к, 95.5м², 8/22 этаж, ул. проспект Вернадского, 92, Москва, квартира",На карте Тропарёво,17,14.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11722582/
2k,12200000,38.1,2,3,12,"2к, 38.1м², 3/12 этаж, ул. Новосибирская, 7, Москва, квартира",Щёлковская,21,6.0,Блочные,https://msk.etagi.com/realty/11724235/
2k,28500000,60.6,2,17,23,"2к, 60.6м², 17/23 этаж, ул. Красноказарменная, 14ак2, Москва, квартира",Авиамоторная,12,29.0,Монолитные,https://msk.etagi.com/realty/11729402/
2k,14000000,53.5,2,13,17,"2к, 53.5м², 13/17 этаж, ул. Лукинская, 8, Москва, квартира",,,8.5,Панельные,https://msk.etagi.com/realty/11730292/
2k,65000000,56.0,2,9,10,"2к, 56м², 9/10 этаж, ул. Кутузовский проспект, 4/2, Москва, квартира",Киевская,12,22.5,Кирпичные,https://msk.etagi.com/realty/11731494/
2k,26210000,54.4,2,16,17,"2к, 54.4м², 16/17 этаж, ул. Профсоюзная, 30к4, Москва, квартира",Профсоюзная,3,9.1,Железобетонные,https://msk.etagi.com/realty/11731966/
2k,38000000,49.2,2,3,14,Посмотреть 12 фото,На карте Минская,15,6.0,Монолитные,https://msk.etagi.com/realty/11734821/
2k,24500000,50.6,2,23,30,"2к, 50.6м², 23/30 этаж, ул. Окская, 7а, Москва, квартира",На карте Окская,12,21.0,Панельные,https://msk.etagi.com/realty/11734930/
2k,18250000,42.4,2,1,5,"2к, 42.4м², 1/5 этаж, ул. Ломоносовский проспект, 33к1, Москва, квартира",Ломоносовский проспект,6,8.0,Кирпичные,https://msk.etagi.com/realty/11736739/
2k,21000000,58.0,2,12,22,"2к, 58м², 12/22 этаж, ул. Дубнинская, 37к2, Москва, квартира",Дегунино,12,9.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11737298/
2k,13800000,61.5,2,9,23,"2к, 61.5м², 9/23 этаж, ул. Ярославское шоссе, 124, Москва, апартаменты",,,10.5,Панельные,https://msk.etagi.com/realty/11680802/
2k,29500000,45.9,2,19,34,"2к, 45.9м², 19/34 этаж, ул. Архитектора Власова, 71к2, Москва, квартира",Воронцовская,8,22.3,Монолитно-Кирпичный,https://msk.etagi.com/realty/11688961/
2k,34000000,62.0,2,5,25,"2к, 62м², 5/25 этаж, ул. Берзарина, 28ак1, Москва, квартира",На карте Октябрьское Поле,18,13.0,Монолитные,https://msk.etagi.com/realty/11690161/
2k,17800000,35.7,2,2,24,"2к, 35.7м², 2/24 этаж, ул. Большая Академическая, 85к1, Москва, квартира",,,4.0,Панельные,https://msk.etagi.com/realty/11690334/
2k,24990000,54.0,2,10,17,"2к, 54м², 10/17 этаж, ул. Нарвская, 1ак1, Москва, квартира",,,12.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11690870/
2k,20300000,44.1,2,5,5,"2к, 44.1м², 5/5 этаж, ул. бульвар Маршала Рокоссовского, 20/18с1, Москва, квартира",Бульвар Рокоссовского,12,5.3,Блочные,https://msk.etagi.com/realty/11691867/
2k,39800000,60.4,2,8,25,"2к, 60.4м², 8/25 этаж, ул. Академика Челомея, 1а, Москва, квартира",Воронцовская,8,9.7,Монолитно-Кирпичный,https://msk.etagi.com/realty/11692388/
2k,3950000,44.8,2,7,12,"2к, 44.8м², 7/12 этаж, ул. Очаковское шоссе, 17к1, Москва, квартира",На карте Аминьевская,15,6.5,Панельные,https://msk.etagi.com/realty/11695818/
2k,20490000,55.9,2,7,30,"2к, 55.9м², 7/30 этаж, ул. Строительный проезд, 9, Москва, квартира",На карте Тушинская,21,13.6,Монолитный железобетонный каркас,https://msk.etagi.com/realty/11696556/
2k,20000000,44.0,2,8,9,"2к, 44м², 8/9 этаж, ул. Открытое шоссе, 28к4, Москва, квартира",Бульвар Рокоссовского,35,9.0,Блочные,https://msk.etagi.com/realty/11698011/
2k,44400000,81.0,2,7,18,"2к, 81м², 7/18 этаж, ул. Багрицкого, 18, Москва, квартира",Давыдково,17,16.0,Монолитные,https://msk.etagi.com/realty/11698292/
2k,24500000,55.0,2,15,27,"2к, 55м², 15/27 этаж, ул. Карамышевская набережная, 48к3, Москва, квартира",На карте Народное Ополчение,20,9.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10953896/
2k,34470000,60.3,2,17,44,"2к, 60.3м², 17/44 этаж, ул. Шелепихинская набережная, 40к1, Москва, квартира",Хорошёво,18,24.8,Монолитно-Кирпичный,https://msk.etagi.com/realty/10954534/
2k,42990000,65.0,2,6,13,"2к, 65м², 6/13 этаж, ул. Сосинская, 8, Москва, квартира",-,5,25.0,Монолитные,https://msk.etagi.com/realty/10954686/
2k,21100000,57.5,2,5,15,"2к, 57.5м², 5/15 этаж, ул. Кантемировская, 35ак1, Москва, квартира",На карте Кантемировская,5,10.0,Монолитные,https://msk.etagi.com/realty/10955307/
2k,15250000,55.7,2,1,9,"2к, 55.7м², 1/9 этаж, ул. Голубинская, 25к1, Москва, квартира",минут на автобусе или,10,10.0,Панельные,https://msk.etagi.com/realty/10956930/
2k,15700000,36.6,2,17,30,Посмотреть 5 фото,Москворечье,18,17.1,Сборно-монолитный железобетонный каркас,https://msk.etagi.com/realty/10957408/
2k,13699000,42.8,2,3,5,"2к, 42.8м², 3/5 этаж, ул. Погонный проезд, 1к8, Москва, квартира",Белокаменная,17,6.0,Кирпич красный,https://msk.etagi.com/realty/10959667/
2k,26000000,56.2,2,7,24,"2к, 56.2м², 7/24 этаж, ул. Головинское шоссе, 11, Москва, квартира",Водный стадион,8,10.0,Монолитные,https://msk.etagi.com/realty/10960538/
2k,16300000,43.0,2,5,9,"2к, 43м², 5/9 этаж, ул. Кленовый бульвар, 10к1, Москва, квартира",Коломенская,12,6.0,Панельные,https://msk.etagi.com/realty/10966880/
2k,18000000,45.0,2,7,8,"2к, 45м², 7/8 этаж, ул. Сергея Эйзенштейна, 2, Москва, квартира",Ботанический сад ВДНХ,17,6.0,Кирпичные,https://msk.etagi.com/realty/10967159/
2k,39000000,43.6,2,3,14,"2к, 43.6м², 3/14 этаж, ул. Генерала Дорохова, 39к2, Москва, квартира",Аминьевская,18,5.0,Блоки железобетонные,https://msk.etagi.com/realty/10971472/
2k,21000000,60.9,2,4,31,"2к, 60.9м², 4/31 этаж, ул. Поляны, 5, Москва, квартира",в,12,11.0,Монолитные,https://msk.etagi.com/realty/10632935/
2k,59000000,95.2,2,36,42,"2к, 95.2м², 36/42 этаж, ул. Багратионовский проезд, 5ак1, Москва, квартира",Фили,5,12.7,Монолитно-Кирпичный,https://msk.etagi.com/realty/10891139/
2k,22700000,69.9,2,1,14,"2к, 69.9м², 1/14 этаж, ул. 1-й Тушинский проезд, 19, Москва, квартира",Трикотажная,17,12.0,Блочные,https://msk.etagi.com/realty/10894461/
2k,22800000,61.0,2,3,20,"2к, 61м², 3/20 этаж, ул. проезд Досфлота, 2а, Москва, квартира",Водный стадион,24,10.0,Монолитные,https://msk.etagi.com/realty/10900452/
2k,23700000,59.6,2,3,19,"2к, 59.6м², 3/19 этаж, ул. Производственная, 12к2, Москва, квартира",расположенная в пешей доступности от метро Солнцево -,8,12.5,Монолитные,https://msk.etagi.com/realty/10905894/
2k,21500000,53.9,2,16,16,"2к, 53.9м², 16/16 этаж, ул. Одесская, 14к3а, Москва, квартира",а На карте Каховская,11,9.0,Панельные,https://msk.etagi.com/realty/10906704/
2k,34500000,54.9,2,10,12,"2к, 54.9м², 10/12 этаж, ул. Гвоздева, 7/4с1, Москва, квартира",,,10.4,Кирпичные,https://msk.etagi.com/realty/10906815/
2k,16000000,44.0,2,3,5,"2к, 44м², 3/5 этаж, ул. Ереванская, 25, Москва, квартира",В,7,5.5,Панельные,https://msk.etagi.com/realty/10923345/
2k,15000000,44.5,2,5,5,"2к, 44.5м², 5/5 этаж, ул. Лодочная, 27с1, Москва, квартира",пешком или,5,6.0,Кирпичные,https://msk.etagi.com/realty/10925631/
2k,20000000,39.1,2,5,15,"2к, 39.1м², 5/15 этаж, ул. Рязанский проспект, 6а, Москва, квартира",а На карте Стахановская,2,10.0,Монолитные,https://msk.etagi.com/realty/10925668/
2k,15500000,46.9,2,12,12,"2к, 46.9м², 12/12 этаж, ул. Дмитровское шоссе, 64к2, Москва, квартира",,,9.5,Панельные,https://msk.etagi.com/realty/12039639/
2k,15500000,37.0,2,7,9,"2к, 37м², 7/9 этаж, ул. Новаторов, 38к2, Москва, квартира",Новаторская,14,7.0,Блочные,https://msk.etagi.com/realty/10806443/
2k,13490000,44.3,2,2,9,"2к, 44.3м², 2/9 этаж, ул. Айвазовского, 5к1, Москва, квартира",Ясенево,20,6.0,Монолитные,https://msk.etagi.com/realty/10807113/
2k,37950000,85.8,2,2,35,"2к, 85.8м², 2/35 этаж, ул. Крылатские Холмы, 33к1, Москва, квартира",-,8,15.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10812708/
2k,25550000,49.5,2,4,22,"2к, 49.5м², 4/22 этаж, ул. 3-я Хорошёвская, 17а, Москва, квартира",,,5.4,Монолитные,https://msk.etagi.com/realty/10817443/
2k,4500000,43.5,2,1,9,"2к, 43.5м², 1/9 этаж, ул. Габричевского, 6к2, Москва, квартира",На карте Щукинская,8,6.0,Кирпичные,https://msk.etagi.com/realty/10817810/
2k,27000000,47.7,2,14,42,Посмотреть 19 фото,На карте Нагорная,20,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10818823/
2k,25000000,57.3,2,14,23,"2к, 57.3м², 14/23 этаж, ул. Чоботовская, 2к2, Москва, квартира",На карте Новопеределкино,8,19.0,Монолитные,https://msk.etagi.com/realty/10820070/
2k,17000000,45.1,2,4,5,"2к, 45.1м², 4/5 этаж, ул. Батюнинская, 7, Москва, квартира",На карте Перерва,12,5.7,Панели железобетонные,https://msk.etagi.com/realty/10822057/
2k,27500000,51.2,2,9,34,"2к, 51.2м², 9/34 этаж, ул. Новохохловская, 15к2, Москва, квартира",В,7,16.4,Монолитные,https://msk.etagi.com/realty/10825856/
2k,46500000,67.7,2,4,6,"2к, 67.7м², 4/6 этаж, ул. Казарменный переулок, 8с3, Москва, квартира",Чкаловская,6,10.0,Кирпичные,https://msk.etagi.com/realty/10828960/
2k,16500000,45.0,2,5,5,"2к, 45м², 5/5 этаж, ул. Большая Черкизовская, 3к6, Москва, квартира",Преображенская площадь,5,5.5,Блочные,https://msk.etagi.com/realty/10831320/
2k,29500000,54.6,2,3,11,"2к, 54.6м², 3/11 этаж, ул. Кутузовский проспект, 30, Москва, квартира",На карте Деловой центр Кутузовская,3,7.0,Кирпичные,https://msk.etagi.com/realty/10707039/
2k,21400000,55.0,2,4,17,"2к, 55м², 4/17 этаж, ул. Академика Анохина, 26к3, Москва, квартира",Юго-Западная,12,10.0,Панельные,https://msk.etagi.com/realty/10709447/
2k,20500000,46.2,2,7,7,"2к, 46.2м², 7/7 этаж, ул. Удальцова, 14, Москва, квартира",Проспект Вернадского,6,6.5,Кирпичные,https://msk.etagi.com/realty/10709494/
2k,19400000,51.4,2,7,14,"2к, 51.4м², 7/14 этаж, ул. Старокаширское шоссе, 4к2, Москва, квартира",Варшавская,15,9.7,Панельные,https://msk.etagi.com/realty/10709567/
