source_group,price,area_total,rooms,floor,floors_total,address,metro,metro_walk_min,kitchen_area,walls,link
4k,60000000,145.0,4,5,8,"4к, 145м², 5/8 этаж, ул. Садовая-Спасская, 19/1, Москва, квартира",Красные Ворота,3,35.0,Кирпичные,https://msk.etagi.com/realty/9615566/
4k,80000000,167.9,4,6,48,"4к, 167.9м², 6/48 этаж, ул. Авиационная, 79к1, Москва, квартира",Щукинская,12,15.0,Кирпичные,https://msk.etagi.com/realty/9648994/
4k,29500000,105.0,4,14,21,"4к, 105м², 14/21 этаж, ул. Саратовская, 31, Москва, квартира",На карте Стахановская,15,11.0,Панельные,https://msk.etagi.com/realty/9744757/
4k,28000000,106.4,4,16,21,"4к, 106.4м², 16/21 этаж, ул. Саратовская, 31, Москва, квартира",На карте Стахановская,15,10.0,Панельные,https://msk.etagi.com/realty/9752299/
4k,400000000,385.0,6,4,11,"6к, 385м², 4/11 этаж, ул. Усачёва, 11, Москва, квартира",Фрунзенская,8,9.0,Монолитно-заливные,https://msk.etagi.com/realty/3885806/
4k,196000000,168.5,4,2,19,"4к, 168.5м², 2/19 этаж, ул. Ломоносовский проспект, 25к5, Москва, квартира",На карте Университет,2,20.0,Монолитные,https://msk.etagi.com/realty/3980136/
4k,90000000,142.7,4,3,6,"4к, 142.7м², 3/6 этаж, ул. Старый Толмачёвский переулок, 3, Москва, квартира",На карте Новокузнецкая,6,15.0,Кирпичные,https://msk.etagi.com/realty/4317142/
4k,25850000,91.8,4,3,17,"4к, 91.8м², 3/17 этаж, ул. Привольная, 73к2, Москва, квартира",До метро Котельники -,5,10.2,Панельные,https://msk.etagi.com/realty/4417935/
4k,41100000,84.2,4,3,3,"4к, 84.2м², 3/3 этаж, ул. Спасский тупик, 4, Москва, квартира",Комсомольская,8,11.3,Монолитный железобетонный каркас,https://msk.etagi.com/realty/5770306/
4k,29400000,111.3,4,3,25,"4к, 111.3м², 3/25 этаж, ул. Митинская, 10, Москва, квартира",Волоколамская,9,18.0,Блочные,https://msk.etagi.com/realty/924739/
3k,15000000,59.0,3,7,9,"3к, 59м², 7/9 этаж, ул. Уссурийская, 5к1, Москва, квартира",Щёлковская,29,6.0,Панельные,https://msk.etagi.com/realty/12245372/
3k,40000000,86.8,3,1,5,"3к, 86.8м², 1/5 этаж, ул. 1-я улица Машиностроения, 4к2, Москва, квартира",Дубровка,6,9.0,Кирпичные,https://msk.etagi.com/realty/12250812/
3k,57000000,90.0,3,8,78,"3к, 90м², 8/78 этаж, ул. 1-й Красногвардейский проезд, 22с2, Москва, квартира",На карте Деловой центр Международная,6,10.0,Монолитные,https://msk.etagi.com/realty/12255659/
3k,53700000,97.5,3,17,21,"3к, 97.5м², 17/21 этаж, ул. 3-я Хорошёвская, 17а/2, Москва, квартира",На карте Октябрьское Поле,15,31.3,Монолитно-Кирпичный,https://msk.etagi.com/realty/12256457/
3k,49400000,71.1,3,25,36,"3к, 71.1м², 25/36 этаж, ул. Лобачевского, 120, Москва, квартира",На карте Мичуринский проспект Аминьевская,6,12.0,Монолитные,https://msk.etagi.com/realty/582805/
3k,75000000,120.4,3,30,35,"3к, 120.4м², 30/35 этаж, ул. Шмитовский проезд, 39к8, Москва, квартира",Шелепиха Тестовская,6,23.8,Монолитно-Кирпичный,https://msk.etagi.com/realty/582807/
3k,21200000,64.0,3,9,9,"3к, 64м², 9/9 этаж, ул. 8-я улица Текстильщиков, 2к2, Москва, квартира",На карте Текстильщики,9,10.0,Блоки железобетонные,https://msk.etagi.com/realty/12217961/
