source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km
all,16250000.0,34.9,1.0,11.0,12.0,"Москва, ул. Тимирязевская, 7",55.80866,37.569773,Дмитровская,9.0,8.0,косметический ремонт,кирпичные,1969.0,2.64,не угловая,,7,Двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12627462/,raw,0.75,geo_recomputed,6.9,10.25,0.49,0.23,0.02,0.24
all,15700000.0,46.0,2.0,2.0,12.0,"Москва, ул. Ясеневая, 35 (18 км до центра)",55.606527,37.740165,Зябликово,8.0,7.0,косметический ремонт,панельные,1977.0,2.64,не угловая,"пассажирский, грузовой",35,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12627935/,raw,0.68,geo_recomputed,17.98,0.9,0.08,0.14,0.47,0.11
all,13450000.0,37.6,2.0,2.0,9.0,"Москва, ул. Измайловский проспект, 115а (20 км до центра)",55.789254,37.812758,Первомайская,12.0,6.0,требует ремонта / частичный ремонт,блочные,1972.0,2.5,угловая,"пассажирский, грузовой",115а,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12628204/,raw,1.01,geo_recomputed,13.0,1.78,0.05,0.41,0.29,0.44
all,24990000.0,38.6,2.0,4.0,26.0,"Москва, ул. Кронштадтский бульвар, 9к1",55.841625,37.489706,Водный стадион,4.0,18.0,,монолитно-каркасные,,2.8,не угловая,"пассажирский, грузовой",9к1,Двор,,нет,https://msk.etagi.com/realty/12629617/,raw,0.32,geo_recomputed,12.68,4.84,0.47,0.29,0.36,0.16
all,17100000.0,35.0,1.0,2.0,12.0,"Москва, ул. Знаменская, 38к2 (8 км до центра)",55.801981,37.722496,Преображенская площадь,10.0,9.0,,блочные,1972.0,2.48,не угловая,"пассажирский, грузовой",38к2,Двор,,нет,https://msk.etagi.com/realty/12630961/,raw,0.84,geo_recomputed,8.68,6.74,0.09,0.2,0.09,0.26
all,14800000.0,37.0,1.0,5.0,13.0,"Москва, ул. Ленинградское шоссе, 229ак2 (26 км до центра)",,,Новоподрезково,15.0,7.0,евроремонт,монолитные,,,не угловая,,229ак2,Двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12619927/,raw,,raw,,,,,,
all,26200000.0,52.0,2.0,7.0,22.0,"Москва, ул. Малая Филёвская, 22 (19 км до центра)",55.736615,37.466009,Пионерская,1.0,9.0,евроремонт,монолитные,2018.0,2.64,не угловая,"пассажирский, грузовой, пассажирский и грузовой",22,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12619982/,raw,0.08,geo_recomputed,9.52,5.53,0.23,0.13,0.35,0.09
all,15200000.0,33.0,1.0,8.0,9.0,"Москва, ул. Академика Комарова, 20а",55.830832,37.586571,Фонвизинская,11.0,5.0,,панели железобетонные,,2.5,не угловая,,20а,Детская площадка,,нет,https://msk.etagi.com/realty/12619998/,raw,0.9,geo_recomputed,8.93,8.09,0.31,0.23,0.39,0.32
all,12400000.0,22.0,0.0,18.0,20.0,"Москва, ул. Производственная, 19ак2 (20 км до центра)",55.644318,37.380687,Новопеределкино,7.0,5.0,черновая отделка,блочные+кирпич,999.0,,не угловая,грузовой,19ак2,Детская площадка,,нет,https://msk.etagi.com/realty/12620167/,raw,0.57,geo_recomputed,18.99,3.81,0.48,0.35,0.76,0.82
all,11350000.0,18.76,0.0,10.0,23.0,"1-й Нагатинский проезд, район Нагатино-Садовники, Москва, Центральный федеральный округ, 115230, Россия",55.674743,37.628254,Нагатинская,11.0,2.6,чистовая отделка,монолитно-кирпичный,,2.7,не угловая,"грузовой, пассажирский, пассажирский и грузовой",2,Детская площадка,,есть,https://msk.etagi.com/realty/12620318/,geo,0.94,geo_recomputed,8.65,10.95,0.3,0.29,0.43,0.07
