price,area_total,rooms,floor,floors_total,latitude,longitude,metro_walk_min,kitchen_area,build_year,ceiling_height,floor_position,yard,playground,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,parking_underground,parking_ground,parking_multilevel,parking_open,elevator_passenger,elevator_cargo,walls_norm_block,walls_norm_brick,walls_norm_monolith,walls_norm_other,walls_norm_panel,walls_norm_unknown,renovation_norm_cosmetic,renovation_norm_good,renovation_norm_no_repair,renovation_norm_other,renovation_norm_unknown
15700000.0,46.0,2.0,2.0,12.0,55.606527,37.740165,8.0,7.0,1977.0,2.64,не угловая,Двор,есть,raw,0.68,geo_recomputed,17.98,0.9,0.08,0.14,0.47,0.11,341304.347826087,0,1,0,0,1,1,False,False,False,False,True,False,True,False,False,False,False
13450000.0,37.6,2.0,2.0,9.0,55.789254,37.812758,12.0,6.0,1972.0,2.5,угловая,Двор,есть,raw,1.01,geo_recomputed,13.0,1.78,0.05,0.41,0.29,0.44,357712.76595744677,0,1,0,0,1,1,False,False,False,True,False,False,False,False,True,False,False
24990000.0,38.6,2.0,4.0,26.0,55.841625,37.489706,4.0,18.0,,2.8,не угловая,Двор,нет,raw,0.32,geo_recomputed,12.68,4.84,0.47,0.29,0.36,0.16,647409.3264248704,0,0,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True
17100000.0,35.0,1.0,2.0,12.0,55.801981,37.722496,10.0,9.0,1972.0,2.48,не угловая,Двор,нет,raw,0.84,geo_recomputed,8.68,6.74,0.09,0.2,0.09,0.26,488571.4285714286,0,0,0,0,1,1,False,False,False,True,False,False,False,False,False,False,True
14800000.0,37.0,1.0,5.0,13.0,,,15.0,7.0,,,не угловая,Двор,нет,raw,,raw,,,,,,,400000.0,1,1,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False
26200000.0,52.0,2.0,7.0,22.0,55.736615,37.466009,1.0,9.0,2018.0,2.64,не угловая,Двор,есть,raw,0.08,geo_recomputed,9.52,5.53,0.23,0.13,0.35,0.09,503846.1538461539,0,1,0,0,1,1,False,False,True,False,False,False,False,True,False,False,False
15200000.0,33.0,1.0,8.0,9.0,55.830832,37.586571,11.0,5.0,,2.5,не угловая,Детская площадка,нет,raw,0.9,geo_recomputed,8.93,8.09,0.31,0.23,0.39,0.32,460606.0606060606,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,True
12400000.0,22.0,0.0,18.0,20.0,55.644318,37.380687,7.0,5.0,,,не угловая,Детская площадка,нет,raw,0.57,geo_recomputed,18.99,3.81,0.48,0.35,0.76,0.82,563636.3636363636,0,0,0,0,0,1,False,True,False,False,False,False,False,False,True,False,False
11350000.0,18.76,0.0,10.0,23.0,55.674743,37.628254,11.0,2.6,,2.7,не угловая,Детская площадка,есть,geo,0.94,geo_recomputed,8.65,10.95,0.3,0.29,0.43,0.07,605010.6609808102,0,0,0,0,1,1,False,False,True,False,False,False,False,False,False,True,False
10000000.0,28.1,1.0,3.0,24.0,55.692896,37.460816,6.0,10.0,,,не угловая,Двор,нет,raw,0.52,geo_recomputed,11.72,2.94,0.37,0.15,0.42,0.3,355871.88612099644,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False
17950000.0,27.0,1.0,5.0,15.0,55.775307,37.471237,10.0,10.0,,2.64,не угловая,Двор,есть,raw,0.87,geo_recomputed,9.39,6.18,0.42,0.25,0.15,0.09,664814.8148148148,0,1,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True
66000000.0,91.4,3.0,12.0,24.0,55.664091,37.546264,9.0,21.7,,,не угловая,Детская площадка,нет,raw,0.73,geo_recomputed,10.72,6.08,0.66,0.54,0.08,0.21,722100.6564551422,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True
13900000.0,30.1,1.0,1.0,8.0,55.813273,37.622729,14.0,7.0,1961.0,2.64,не угловая,Двор,нет,raw,1.17,geo_recomputed,6.81,9.42,0.42,0.33,0.34,0.06,461794.0199335548,0,1,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False
15000000.0,37.5,1.0,5.0,17.0,55.655706,37.40601,10.0,7.4,,2.6,не угловая,Детская площадка,нет,raw,0.79,geo_recomputed,16.96,1.8,0.13,0.11,0.13,0.35,400000.0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,True,False
27200000.0,66.1,2.0,4.0,24.0,55.736939,37.74816,11.0,29.9,,2.98,не угловая,Детская площадка,нет,raw,0.94,geo_recomputed,8.47,5.82,0.26,0.19,0.25,0.4,411497.7307110439,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False
18950000.0,52.8,3.0,17.0,25.0,55.717264,37.666531,7.0,10.0,,,не угловая,Двор,нет,raw,0.62,geo_recomputed,5.03,10.48,0.19,0.39,0.28,0.24,358901.5151515152,1,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False
25000000.0,72.2,3.0,2.0,17.0,55.636936,37.723403,16.0,10.0,,,не угловая,Детская площадка,нет,raw,1.34,geo_recomputed,14.49,4.1,0.13,0.09,1.11,0.54,346260.38781163434,0,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False
36000000.0,54.0,2.0,10.0,27.0,55.782309,37.508598,7.0,9.0,2022.0,3.0,не угловая,Двор,есть,raw,0.57,geo_recomputed,7.48,8.04,0.28,0.29,0.47,0.48,666666.6666666666,1,1,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False
12890000.0,50.1,3.0,8.0,12.0,55.588806,37.639464,18.0,6.0,,2.64,не угловая,Двор,нет,raw,1.53,geo_recomputed,18.23,1.68,0.23,0.25,0.77,0.37,257285.42914171657,0,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,False
14000000.0,46.0,2.0,1.0,9.0,55.825057,37.817232,25.0,6.0,1969.0,2.64,не угловая,Двор,есть,raw,2.05,geo_recomputed,14.98,0.84,0.33,0.11,0.49,0.38,304347.82608695654,0,1,0,0,1,1,False,False,False,False,True,False,False,False,False,False,True
8600000.0,22.5,5.0,1.0,12.0,55.807936,37.405597,6.0,5.0,,,не угловая,Двор,нет,raw,0.5,geo_recomputed,14.52,1.07,0.19,0.08,0.42,0.15,382222.22222222225,0,1,0,0,1,1,False,False,False,False,True,False,False,False,False,False,True
22000000.0,65.0,0.0,3.0,5.0,55.774006,37.706092,10.0,7.0,,2.64,не угловая,Двор,нет,raw,0.79,geo_recomputed,6.16,8.56,0.07,0.2,0.18,0.64,338461.53846153844,0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False
19400000.0,42.5,2.0,3.0,8.0,55.701308,37.662228,7.0,9.0,1962.0,2.64,не угловая,Двор,нет,raw,0.56,geo_recomputed,6.37,10.52,0.56,0.07,0.26,0.28,456470.5882352941,0,0,0,0,1,1,False,True,False,False,False,False,True,False,False,False,False
30300000.0,100.1,4.0,,,55.820678,37.588548,3.0,9.0,,,не угловая,Детская площадка,нет,raw,0.24,geo_recomputed,7.8,9.13,0.26,0.06,0.46,0.11,302697.3026973027,0,0,0,0,0,0,False,False,False,False,False,True,True,False,False,False,False
20700000.0,38.0,1.0,10.0,24.0,55.860752,37.650451,7.0,9.0,,,не угловая,Детская площадка,нет,raw,0.61,geo_recomputed,12.27,3.93,0.71,0.39,0.38,0.25,544736.8421052631,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False
74900000.0,101.0,3.0,2.0,9.0,55.775236,37.618327,5.0,30.0,2005.0,2.64,не угловая,Двор,нет,raw,0.42,geo_recomputed,2.57,13.35,0.47,0.34,0.01,0.12,741584.1584158416,0,1,0,0,1,1,False,True,False,False,False,False,False,False,False,False,True
16300000.0,41.0,1.0,10.0,24.0,55.603565,37.653084,23.0,14.0,2022.0,2.5,не угловая,Двор,нет,raw,1.92,geo_recomputed,16.69,3.4,0.37,0.49,0.46,0.12,397560.9756097561,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True
