source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link
all,15200000,33.0,1,8,9,"Москва, ул. Академика Комарова, 20а",55.830832,37.586571,Петровско-Разумовская,15,5.0,,панели железобетонные,,2.5,не угловая,,20а,Детская площадка,,нет,https://msk.etagi.com/realty/12619998/
all,12400000,22.0,0,18,20,"Москва, ул. Производственная, 19ак2 (20 км до центра)",55.644318,37.380687,Новопеределкино,15,5.0,черновая отделка,блочные+кирпич,999,,не угловая,грузовой,19ак2,Детская площадка,,нет,https://msk.etagi.com/realty/12620167/
all,11350000,18.76,0,10,23,,55.674743,37.628254,Нагатинская,15,2.6,чистовая отделка,монолитно-кирпичный,,2.7,не угловая,"грузовой, пассажирский, пассажирский и грузовой",2,Детская площадка,,есть,https://msk.etagi.com/realty/12620318/
all,10000000,28.1,1,3,24,"Москва, ул. Очаковское шоссе, 7 (12 км до центра)",55.692896,37.460816,Аминьевская,15,10.0,чистовая отделка,панельные,,,не угловая,,7,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12620373/
all,17950000,27.0,1,5,15,"Москва, ул. проспект Маршала Жукова, 39ак1 (9 км до центра)",55.775307,37.471237,Народное Ополчение,15,10.0,,сборно-монолитный железобетонный каркас,,2.64,не угловая,"пассажирский, грузовой",39ак1,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12620459/
all,66000000,91.4,3,12,24,"Москва, ул. Профсоюзная, 68к2 (11 км до центра)",55.664091,37.546264,,,21.7,,монолитные,,,не угловая,,68к2,Детская площадка,,нет,https://msk.etagi.com/realty/12620473/
all,13900000,30.1,1,1,8,"Москва, ул. Звёздный бульвар, 42к1",55.813273,37.622729,Алексеевская,15,7.0,евроремонт,блочные,1961,2.64,не угловая,грузовой,42к1,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12620582/
all,15000000,37.5,1,5,17,"Москва, ул. Главмосстроя, 9 (97 км до центра)",55.655706,37.40601,Говорово,15,7.4,чистовая отделка,кирпично-панельные,,2.6,не угловая,,9,Детская площадка,,нет,https://msk.etagi.com/realty/12620874/
all,,,,,,,,,,,,,,,,,,,,,,https://msk.etagi.com/realty/12620890/
all,27200000,66.1,2,4,24,"Москва, ул. Перовское шоссе, д. 21",55.736939,37.74816,Перово,15,29.9,черновая отделка,монолитно-кирпичный,,2.98,не угловая,,1,Детская площадка,,нет,https://msk.etagi.com/realty/12613381/
all,18950000,52.8,3,17,25,"Москва, ул. Новоостаповская, 2 (5 км до центра)",55.717264,37.666531,Дубровка,15,10.0,косметический ремонт,монолитные,,,не угловая,грузовой,2,Двор,подземный паркинг,нет,https://msk.etagi.com/realty/12613740/
all,25000000,72.2,3,2,17,"Москва, ул. Борисовские Пруды, 21к2",55.636936,37.723403,Борисово,15,10.0,евроремонт,панели железобетонные,,,не угловая,,21к2,Детская площадка,,нет,https://msk.etagi.com/realty/12614582/
all,36000000,54.0,2,10,27,"Москва, ул. Зорге, 9к2 (7 км до центра)",55.782309,37.508598,Хорошёво,15,9.0,косметический ремонт,монолитно-кирпичный,2022,3.0,не угловая,грузовой,9к2,Двор,"наземный паркинг, гостевой паркинг, подземный паркинг",есть,https://msk.etagi.com/realty/12614623/
all,12890000,50.1,3,8,12,"Москва, ул. Харьковский проезд, 11к2 (19 км до центра)",55.588806,37.639464,Красный Строитель,30,6.0,косметический ремонт,блочные+кирпич,,2.64,не угловая,,11к2,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12614792/
all,14000000,46.0,2,1,9,"Москва, ул. Сахалинская, 4",55.825057,37.817232,Щёлковская,30,6.0,,панельные,1969,2.64,не угловая,"пассажирский, грузовой",4,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12615047/
all,8600000,22.5,5,1,12,"Москва, ул. Маршала Катукова, 14к1",55.807936,37.405597,Строгино,15,5.0,,панельные,,,не угловая,"пассажирский, грузовой",14к1,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12615212/
all,22000000,65.0,0,3,5,"Москва, ул. Госпитальный Вал, 5к16",55.774006,37.706092,Электрозаводская,15,7.0,косметический ремонт,монолитные,,2.64,не угловая,,5к16,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12615318/
all,19400000,42.5,2,3,8,"Москва, ул. Трофимова, 4б",55.701308,37.662228,Автозаводская,15,9.0,косметический ремонт,кирпичные,1962,2.64,не угловая,"пассажирский, грузовой",4б,Двор,,нет,https://msk.etagi.com/realty/12615473/
all,30300000,100.1,4,,,"Москва, ул. Фонвизина, 14",55.820678,37.588548,Тимирязевская,15,9.0,косметический ремонт,,,,не угловая,,14,Детская площадка,,нет,https://msk.etagi.com/realty/12615474/
all,20700000,38.0,1,10,24,"Москва, ул. Кольская, 8",55.860752,37.650451,Свиблово,15,9.0,чистовая отделка,монолитный пенобетон,,,не угловая,,8,Детская площадка,,нет,https://msk.etagi.com/realty/12615521/
all,74900000,101.0,3,2,9,"Москва, ул. Самотёчная, 5 (2 км до центра)",55.775236,37.618327,Трубная,15,30.0,,кирпичные,2005,2.64,не угловая,"пассажирский, грузовой",5,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12603150/
all,16300000,41.0,1,10,24,"Москва, ул. 6-я Радиальная, 7/1к2 (17 км до центра)",55.603565,37.653084,Покровское,30,14.0,,монолитные,2022,2.5,не угловая,,7/1к2,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12606631/
all,13200000,34.7,1,9,9,"Москва, ул. Ясеневая, 10к2",55.598782,37.720295,Домодедовская,15,9.0,косметический ремонт,панельные,1976,2.5,не угловая,"пассажирский, грузовой",10к2,Двор,,нет,https://msk.etagi.com/realty/12606666/
all,25800000,64.7,2,15,23,"Москва, ул. Мячковский бульвар, 1",55.659119,37.751664,Марьино,15,10.4,косметический ремонт,крупнопанельные железобетонные плиты,,3.0,не угловая,,1,Двор,парковка во дворе,нет,https://msk.etagi.com/realty/12606726/
all,12500000,36.5,1,20,24,"Москва, ул. Верхние Поля, 45к1",55.667731,37.774014,Люблино,15,8.1,требует ремонта / частичный ремонт,панельные,2004,3.0,не угловая,"пассажирский, грузовой",45к1,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12606911/
all,14500000,37.5,1,2,17,"Москва, ул. Борисовские Пруды, 21к2",55.636936,37.723403,Борисово,15,9.0,евроремонт,панели железобетонные,,,не угловая,,21к2,Детская площадка,,нет,https://msk.etagi.com/realty/12607300/
all,14700000,31.5,1,15,25,"Москва, ул. Люблинская, 72ак2 (12 км до центра)",55.666919,37.733994,Депо,15,10.1,косметический ремонт,панельные,2024,2.65,не угловая,,72ак2,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12607535/
all,41000000,60.0,2,15,20,"Москва, ул. Автозаводская, 26/1к4 (6 км до центра)",55.705853,37.631874,Тульская,15,9.0,косметический ремонт,монолитные,,,не угловая,,26/1к4,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12607564/
all,35500000,86.0,3,18,23,"Москва, ул. 1-й Грайвороновский проезд, 1/1",55.719003,37.72705,Новохохловская,15,6.0,,монолитные,2020,2.64,не угловая,"пассажирский, грузовой",1/1,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12607679/
all,15800000,38.3,1,3,25,"Москва, ул. Дмитровское шоссе, 86 (14 км до центра)",55.869364,37.549857,,,10.0,косметический ремонт,монолитные,2013,2.64,не угловая,"пассажирский, грузовой",86,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12607922/
all,16900000,30.1,1,,,"Москва, ул. Менжинского, 15к2",55.867339,37.671651,Бабушкинская,15,6.0,,,,,не угловая,,15к2,Детская площадка,,нет,https://msk.etagi.com/realty/12608075/
all,16500000,39.8,1,24,33,"Москва, ул. Кавказский бульвар, 51к2 (14 км до центра)",55.62819,37.639581,Кантемировская,30,9.0,косметический ремонт,монолитные,,,не угловая,,51к2,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12591333/
all,23300000,58.0,2,10,21,"Москва, ул. проезд Шокальского, 28ак1 (14 км до центра)",55.878859,37.650352,Медведково,30,11.0,косметический ремонт,монолитные,,,не угловая,,28ак1,Детская площадка,,нет,https://msk.etagi.com/realty/12596706/
all,13800000,64.5,3,7,16,"Москва, ул. 2-я Вольская, 26",55.686284,37.927779,Некрасовка,30,7.8,евроремонт,панельные,1989,2.64,не угловая,"пассажирский, грузовой",26,Двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12596937/
all,13500000,50.4,2,6,15,,55.648727,37.439104,Говорово,45,6.8,требует ремонта / частичный ремонт,монолитно-кирпичный,2025,2.82,не угловая,"пассажирский и грузовой, пассажирский",к2,Двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12597151/
all,10999000,25.0,0,2,13,"Москва, ул. Шереметьевская, 21 (5 км до центра)",55.799851,37.615255,Марьина Роща,15,5.0,черновая отделка,монолитные,,3.0,не угловая,"грузовой, пассажирский, пассажирский и грузовой",21,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12598420/
all,22000000,38.0,2,2,9,"Москва, ул. Госпитальный Вал, 10/12",55.772239,37.708976,Лефортово,15,8.0,,панельные,,,не угловая,"пассажирский, грузовой",10/12,Двор,,нет,https://msk.etagi.com/realty/12599595/
all,15900000,34.0,1,8,8,"Москва, ул. Рязанский проспект, 51",55.724662,37.766262,Плющево,15,5.7,косметический ремонт,кирпичные,1961,2.64,не угловая,"пассажирский, грузовой",51,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12600300/
all,27985000,45.0,1,12,29,"Москва, ул. Волгоградский проспект, 32/5к4 (5 км до центра)",55.720023,37.688782,Угрешская,15,9.0,косметический ремонт,монолитные,2023,3.0,не угловая,"пассажирский, грузовой",32/5к4,Двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12600792/
all,17820000,27.0,0,17,26,"Москва, ул. Дмитровское шоссе, 73б",55.856124,37.555723,Верхние Лихоборы,15,5.0,,монолитные,,,не угловая,,73б,Двор,"наземный паркинг, полуподземный паркинг",нет,https://msk.etagi.com/realty/12600890/
all,,,,,,,,,,,,,,,,,,,,,,https://msk.etagi.com/realty/12601029/
all,18000000,45.6,2,5,12,"Москва, ул. Веерная, 40к3 (17 км до центра)",55.712812,37.485367,Матвеевская,15,6.7,косметический ремонт,панельные,,2.5,не угловая,пассажирский,40к3,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12601370/
all,28700000,78.3,3,6,25,"Москва, ул. Братеевская, 21к3",55.632057,37.754116,Алма-Атинская,15,9.0,,монолитные,2000,2.7,не угловая,,21к3,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12583976/
all,14500000,35.0,1,24,24,,55.848427,37.560368,Лихоборы,15,14.0,чистовая отделка,панельные,,,не угловая,,к3.6,Детская площадка,,нет,https://msk.etagi.com/realty/12592366/
all,28000000,63.5,2,15,33,"Москва, ул. проспект Будённого, 51к1 (8 км до центра)",55.760454,37.737767,Шоссе Энтузиастов,15,12.5,,другое,,2.7,не угловая,пассажирский,51к1,Двор,"наземный паркинг, парковка во дворе, гостевой паркинг",нет,https://msk.etagi.com/realty/12593419/
all,19700000,57.8,2,7,17,"Москва, ул. Ангелов переулок, 11",55.852192,37.345733,Пятницкое шоссе,15,10.1,евроремонт,панельные,,2.64,не угловая,"пассажирский, грузовой",11,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12593452/
all,20000000,43.9,2,7,26,"Москва, ул. шоссе Энтузиастов, 86ак2",55.764014,37.798268,Перово,30,4.0,евроремонт,монолитные,,2.64,не угловая,,86ак2,Двор,,нет,https://msk.etagi.com/realty/12593561/
all,11000000,35.0,1,10,14,"Москва, ул. Головачёва, 5к1",55.67459,37.806129,Люблино,45,9.5,требует ремонта / частичный ремонт,блочные,1972,2.64,не угловая,"пассажирский, грузовой",5к1,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12593870/
all,24440000,50.0,2,14,25,"Москва, ул. Академика Скрябина, 6 (18 км до центра)",55.71518,37.796104,Вешняки,15,9.0,,панельные,,,не угловая,"пассажирский, грузовой",6,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12594039/
all,18600000,50.1,2,6,25,,55.803757,37.351105,Павшино,15,12.0,косметический ремонт,кирпичные,,2.7,не угловая,,1к3,Двор,подземный паркинг,нет,https://msk.etagi.com/realty/12594222/
all,10800000,25.0,0,2,10,"Москва, ул. Подъёмная, 14с37 (6 км до центра)",55.742448,37.707521,Калитники,15,5.0,косметический ремонт,монолитные,,3.0,не угловая,пассажирский,14с37,Двор,"гостевой паркинг, наземный паркинг, парковка во дворе",нет,https://msk.etagi.com/realty/12594248/
all,25990000,69.2,3,2,5,"Москва, ул. Краснопрудная, 22а",55.77791,37.664788,МЦД Казанский вокзал,15,8.0,без отделки,кирпичные,1930,2.64,не угловая,"пассажирский, грузовой",22а,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12594392/
all,20600000,34.3,1,8,30,"Москва, ул. Николая Озерова, 8к1 (13 км до центра)",55.814937,37.430453,Спартак,15,17.7,черновая отделка,монолитные,2024,,не угловая,,8к1,Двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12594413/
all,16500000,40.1,1,9,23,"Москва, ул. Старокрымская, 15к1 (19 км до центра)",55.557948,37.557268,Улица Скобелевская,15,14.2,евроремонт,монолитные,2017,2.7,не угловая,"пассажирский, грузовой",15к1,Двор,"наземный паркинг, подземный паркинг",есть,https://msk.etagi.com/realty/12587627/
all,17300000,48.7,2,5,11,"Москва, ул. 6-я Радиальная, 3к9",55.604748,37.664024,Царицыно,30,10.0,,монолитные,2013,2.64,не угловая,"пассажирский, грузовой",3к9,Двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12587782/
all,33000000,78.8,3,13,32,"Москва, ул. Руставели, 14/1с1 (7 км до центра)",55.811857,37.59515,Бутырская,15,19.5,чистовая отделка,панельные,,2.76,не угловая,,14/1с1,Детская площадка,,нет,https://msk.etagi.com/realty/12587855/
all,18000000,58.7,2,7,12,"Москва, ул. Академика Понтрягина, 25",55.532126,37.501618,Бунинская аллея,15,12.9,косметический ремонт,панельные,2006,2.64,не угловая,"пассажирский, грузовой",25,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12587870/
all,23650000,75.1,3,14,14,"Москва, ул. Новомарьинская, 12/12к1 (13 км до центра)",55.652705,37.754413,Братиславская,15,10.0,косметический ремонт,панельные,1995,2.64,не угловая,"пассажирский, грузовой",12/12к1,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12588911/
all,22000000,38.0,1,14,29,"Москва, ул. Отрадная, 4а",55.857712,37.60614,Отрадное,15,10.0,без отделки,другое,,3.0,не угловая,,4а,Детская площадка,,нет,https://msk.etagi.com/realty/12589191/
all,24000000,36.2,1,16,24,"Москва, ул. Новаторов, 6 (11 км до центра)",55.668396,37.523339,Воронцовская,30,9.0,косметический ремонт,монолитно-кирпичный,,2.7,не угловая,"пассажирский, грузовой",6,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12589298/
all,7500000,32.6,1,5,9,"Москва, ул. Главная, 19а (27 км до центра)",55.821087,37.868445,,,9.0,косметический ремонт,панельные,1974,2.64,не угловая,пассажирский,19а,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12590019/
all,25000000,74.9,3,10,16,"Москва, ул. Скобелевская, 21 (20 км до центра)",55.546735,37.55734,Бульвар Адмирала Ушакова,15,9.0,косметический ремонт,панельные,2002,2.7,не угловая,"пассажирский, грузовой",21,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12590036/
all,25000000,59.0,2,7,24,"Москва, ул. Промышленный проезд, 4",55.742078,37.507412,Фили,15,11.0,евроремонт,арбоблок,,,не угловая,,4,Парковка,подземный паркинг,нет,https://msk.etagi.com/realty/12590165/
all,15800000,38.0,2,5,5,"Москва, ул. Коминтерна, 46 (14 км до центра)",55.871572,37.691297,Бабушкинская,30,9.0,косметический ремонт,кирпичные,,,не угловая,"пассажирский, грузовой",46,Двор,,нет,https://msk.etagi.com/realty/12590294/
all,18000000,40.0,1,4,22,"Москва, ул. 3-я Гражданская, 21",55.812423,37.707754,Преображенская площадь,30,9.0,косметический ремонт,монолитно-кирпичный,,6.0,не угловая,пассажирский,21,Двор,,есть,https://msk.etagi.com/realty/12581072/
all,11780000,38.9,1,1,12,"Москва, ул. Проходчиков, 10к2 (15 км до центра)",55.875679,37.724338,,,8.6,косметический ремонт,панельные,1981,,не угловая,пассажирский,10к2,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12581428/
all,17000000,28.6,1,21,22,"Москва, ул. Волоколамское шоссе, 71/22",55.821927,37.438619,Тушинская,15,8.0,,монолитные,,,не угловая,,71/22,Детская площадка,,нет,https://msk.etagi.com/realty/12581500/
all,7500000,27.2,0,10,26,,55.665528,37.734192,Братиславская,15,9.0,черновая отделка,железо-бетон,,,не угловая,,72 к 11,Детская площадка,,нет,https://msk.etagi.com/realty/12582125/
all,16500000,45.6,2,,,"Москва, ул. Бутлерова, 38к2",55.64317,37.54754,Беляево,15,5.8,косметический ремонт,панельные,,2.64,не угловая,,38к2,Двор,,нет,https://msk.etagi.com/realty/12582212/
all,15499999,38.2,2,22,23,,55.584619,37.705005,Домодедовская,45,5.2,черновая отделка,монолитно-кирпичный,,,не угловая,,2,Детская площадка,,нет,https://msk.etagi.com/realty/12582348/
all,13900000,40.0,2,5,5,"Москва, ул. Авангардная, 14 (18 км до центра)",55.847437,37.491305,Водный стадион,15,6.0,евроремонт,кирпичные,,3.0,не угловая,пассажирский,14,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12582410/
all,16200000,37.5,1,9,10,"Москва, ул. Тайнинская, 9к1",55.881631,37.6835,Медведково,30,24.0,,монолитно-кирпичный,2022,2.6,не угловая,"пассажирский, грузовой",9к1,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12582609/
all,17600000,73.3,3,8,16,"Москва, ул. Ленинский проспект, 123к1 (19 км до центра)",55.646406,37.482592,Тропарёво,15,10.3,косметический ремонт,блочные,1985,,не угловая,"пассажирский, грузовой",123к1,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12582755/
all,19000000,44.0,2,5,5,"Москва, ул. проезд Черепановых, 20",55.838031,37.519081,Водный стадион,30,6.0,евроремонт,кирпичные,1959,3.0,не угловая,,20,Двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12582905/
all,18000000,52.0,2,6,9,"Москва, ул. Молостовых, 8к1",55.763118,37.830078,,,10.0,евроремонт,панельные,,2.64,не угловая,,8к1,Детская площадка,,нет,https://msk.etagi.com/realty/12582934/
all,15000000,49.4,1,3,8,"Москва, ул. Южнобутовская, 44 (22 км до центра)",55.539171,37.535781,,,12.1,косметический ремонт,монолитно-кирпичный,2001,3.05,не угловая,"пассажирский, грузовой",44,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12484709/
all,15500000,24.1,0,19,33,"Москва, ул. Малая Очаковская, 4ак1",55.669407,37.439311,Озёрная,15,6.0,евроремонт,монолитные,2024,2.62,не угловая,,4ак1,Двор,парковка во дворе,нет,https://msk.etagi.com/realty/12559199/
all,41000000,92.7,3,4,8,"Москва, ул. Маршала Бирюзова, 2",55.790327,37.501348,Октябрьское Поле,15,9.1,,кирпич красный,,3.0,не угловая,пассажирский,2,Детская площадка,,нет,https://msk.etagi.com/realty/12559200/
all,6500000,22.0,0,1,6,"Москва, ул. Гостиничный проезд, 8к1 (10 км до центра)",55.845926,37.576151,Петровско-Разумовская,15,10.0,евроремонт,кирпичные,,3.0,не угловая,пассажирский,8к1,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12568957/
all,32445000,97.0,3,3,21,"Москва, ул. Новогиреевская, 5ак2 (10 км до центра)",55.761411,37.796948,Перово,30,10.0,косметический ремонт,монолитные,,,не угловая,"грузовой, пассажирский",5ак2,Парковка,подземный паркинг,нет,https://msk.etagi.com/realty/12569578/
all,21300000,64.4,3,3,14,"Москва, ул. Чугунные Ворота, 23",55.691623,37.806299,Юго-Восточная,30,9.5,косметический ремонт,блочные,1970,2.64,не угловая,"пассажирский, грузовой",23,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12571061/
all,30000000,76.8,3,18,22,"Москва, ул. Родниковая, 30к2 (19 км до центра)",55.632413,37.415694,Саларьево,30,11.0,,монолитные,,,не угловая,,30к2,Двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12571159/
all,19000000,51.6,2,12,17,"Москва, ул. Генерала Тюленева, 25к1",55.619777,37.488404,Тёплый Стан,15,8.4,косметический ремонт,панельные,1995,2.64,не угловая,"пассажирский, грузовой",25к1,Двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12573856/
all,21200000,41.0,2,6,8,"Москва, ул. Ленинградский проспект, 74к5",55.806413,37.518228,Аэропорт,15,6.0,,блочные,,,,,,,,,https://msk.etagi.com/realty/12574263/
