source_group,price,area_total,kitchen_area,price_per_m2,rooms,floor,floors_total,address,metro,metro_walk_min,walls,walls_clean,link,address_raw,metro_raw
4k,25000000,80.0,9.0,312500.0,4.0,1.0,9.0,"ул. Клары Цеткин, 19, Москва",Красный Балтиец,14.0,Крупнопанельные железобетонные плиты,панель,https://msk.etagi.com/realty/10922855/,"4к, 80м², 1/9 этаж, ул. Клары Цеткин, 19, Москва, квартира",Красный Балтиец
4k,145555000,153.2,10.0,950097.9112271541,6.0,28.0,32.0,"ул. Летниковская, 11к1, Москва",Павелецкая,12.0,Монолитные,монолит,https://msk.etagi.com/realty/10924585/,"6к, 153.2м², 28/32 этаж, ул. Летниковская, 11к1, Москва, квартира",На карте Павелецкая
4k,16700000,74.6,9.2,223860.58981233244,4.0,1.0,14.0,"ул. Уссурийская, 5к3, Москва",Щёлковская,30.0,Блочные,блочные,https://msk.etagi.com/realty/10422412/,"4к, 74.6м², 1/14 этаж, ул. Уссурийская, 5к3, Москва, квартира",Щёлковская
4k,24850000,96.8,16.6,256714.87603305787,4.0,26.0,26.0,"ул. Варшавское шоссе, 170ек4, Москва",,,Монолитные,монолит,https://msk.etagi.com/realty/10437592/,"4к, 96.8м², 26/26 этаж, ул. Варшавское шоссе, 170ек4, Москва, квартира",
4k,55000000,103.7,30.4,530376.0848601735,4.0,25.0,37.0,"ул. Озёрная, 1к2/5, Москва",,10.0,Монолитные,монолит,https://msk.etagi.com/realty/10441265/,"4к, 103.7м², 25/37 этаж, ул. Озёрная, 1к2/5, Москва, квартира",в
4k,59900000,156.1,70.0,383728.37924407434,4.0,5.0,17.0,"ул. Мичуринский проспект, 19к1, Москва",Раменки,6.0,Панельные,панель,https://msk.etagi.com/realty/10489902/,"4к, 156.1м², 5/17 этаж, ул. Мичуринский проспект, 19к1, Москва, квартира",На карте Раменки
4k,670000000,255.0,25.0,2627450.9803921566,4.0,12.0,12.0,"ул. Ефремова, 10к1, Москва",Фрунзенская,8.0,Монолитные,монолит,https://msk.etagi.com/realty/10514693/,"4к, 255м², 12/12 этаж, ул. Ефремова, 10к1, Москва, квартира",Фрунзенская
4k,270000000,206.8,48.6,1305609.2843326884,4.0,2.0,13.0,"ул. Братьев Фонченко, 1к5, Москва",Поклонная,3.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/10527445/,"4к, 206.8м², 2/13 этаж, ул. Братьев Фонченко, 1к5, Москва, квартира",Поклонная
4k,55990000,115.0,27.0,486869.5652173913,4.0,24.0,25.0,"ул. Лобачевского, 118к5, Москва",Аминьевская,8.0,Монолитные,монолит,https://msk.etagi.com/realty/9044156/,"4к, 115м², 24/25 этаж, ул. Лобачевского, 118к5, Москва, квартира",Аминьевская
4k,58000000,113.0,40.0,513274.33628318587,4.0,16.0,33.0,"ул. Дубининская, 59б, Москва",а в,5.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/9158791/,"4к, 113м², 16/33 этаж, ул. Дубининская, 59б, Москва, квартира",а в
